Country,Casualty,Trigger,Weapon,Multiple
Algeria,0,7,0,0
Egypt,5,4,0,1
Iraq,20,8,5,7
Jordan,0,2,0,1
Lebanon,0,2,0,0
Libya,15,1,3,0
Morocco,0,1,0,2
Palestine,33,1,3,0
Saudi Arabia,1,0,0,0
Syria,19,4,5,3
Tunisia,1,3,0,2
Yemen,139,11,0,1
